[-1.2291540917664848e-05, array([1.21344213e-05]), array([1.48915133e-05])]
[-1.23109875744789e-05, array([1.21524944e-05]), array([1.49224231e-05])]
[-1.232879973050274e-05, array([1.21750505e-05]), array([1.49685071e-05])]
[-1.2356241978639698e-05, array([1.22098014e-05]), array([1.49854478e-05])]
[-1.2368433202399606e-05, array([1.22252395e-05]), array([1.50391497e-05])]
[-1.2402997063096162e-05, array([1.22439613e-05]), array([1.50881253e-05])]
[-1.2437856513856198e-05, array([1.22687953e-05]), array([1.51375198e-05])]
[-1.2499151183276346e-05, array([1.23330651e-05]), array([1.52653514e-05])]
[-1.2545714995152144e-05, array([1.23902505e-05]), array([1.53624614e-05])]
[-1.259332934637298e-05, array([1.24311464e-05]), array([1.5431909e-05])]
[-1.2606836960888585e-05, array([1.2476349e-05]), array([1.54365494e-05])]
[-1.2648745026160217e-05, array([1.25131704e-05]), array([1.54636031e-05])]
[-1.2684659337814034e-05, array([1.25350053e-05]), array([1.54796458e-05])]
[-1.2690449002210172e-05, array([1.25611506e-05]), array([1.55412286e-05])]
[-1.2698865561654536e-05, array([1.25651692e-05]), array([1.56307529e-05])]
[-1.2703511753417046e-05, array([1.25673875e-05]), array([1.56801729e-05])]
[-1.2723889723665253e-05, array([1.2570739e-05]), array([1.57376879e-05])]
[-1.276819056569308e-05, array([1.25971992e-05]), array([1.57720578e-05])]
[-1.2775673005030852e-05, array([1.26327732e-05]), array([1.58103927e-05])]
[-1.2810887777012244e-05, array([1.26537279e-05]), array([1.58329737e-05])]
[-1.284881235457038e-05, array([1.26762951e-05]), array([1.58519031e-05])]
[-1.288979011248995e-05, array([1.27220615e-05]), array([1.58602854e-05])]
[-1.2918448345358937e-05, array([1.27431879e-05]), array([1.58661477e-05])]
[-1.2960358271085048e-05, array([1.27870341e-05]), array([1.58789954e-05])]
